run_id,run_name,server,model,seed,status,primary_phase,valid_for_mainline,config,a1_best,a1_last,a2_best,a2_best_epoch,a2_last,b_best,b_best_epoch,b_last,train_best,train_best_epoch,train_last,primary_best,primary_best_epoch,primary_last,primary_best_final_drop,sar_baseline_best,sar_baseline_final,safe_threshold,primary_best_minus_sar_best,primary_last_minus_sar_final,primary_best_minus_safe_threshold,primary_last_minus_safe_threshold,notes
S1,s A2 lr3e-4 short13 + B weakKD0.1 B120 b32 retry2,main_4090,s,0,completed,b,no,"EPOCHS_A2=13, B alpha_kd=0.1, B120, batch32 retry2",0.62859000,0.62859000,0.63331000,4,0.62608000,0.62827000,10,0.62267000,,,,0.62827000,10,0.62267000,0.00560000,0.62897,0.62233,0.62697,-0.00070000,0.00034000,0.00130000,-0.00430000,B weakKD0.1 did not preserve the strong A2 peak; B final returns near SAR baseline final and below s safe threshold.
S2,s A2 lr3e-4 short13 + B det-only lr1e-4 B120,main_4090,s,0,completed,b,candidate-best-only,"EPOCHS_A2=13, LADD_B_DET_ONLY=1, B_LR0=1e-4, B120",0.62878000,0.62878000,0.63057000,13,0.63057000,0.63125000,13,0.62556000,,,,0.63125000,13,0.62556000,0.00569000,0.62897,0.62233,0.62697,0.00228000,0.00323000,0.00428000,-0.00141000,"B best is above s SAR best but final still drops below s safe threshold; useful best checkpoint, not a stable final protocol."
N1,n A2 lr3e-4 short13 + B weakKD0.25 B200,main_4090,n,0,completed,b,secondary,"EPOCHS_A2=13, B alpha_kd=0.25, B200",0.55593000,0.55593000,0.56217000,13,0.56217000,0.56476000,197,0.56419000,,,,0.56476000,197,0.56419000,0.00057000,0.55654,0.55127,,0.00822000,0.01292000,,,"Positive over n SAR baseline best/final, but below prior n BN-freeze/full mainline best around 0.57615."
M1,m A2 lr3e-4 short4 + B1 placeholder,main_4090,m,0,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder",0.65533000,0.65533000,0.64325000,4,0.64325000,0.62839000,1,0.62839000,,,,0.64325000,4,0.64325000,0.00000000,0.6558,0.64903,0.6538,-0.01255000,-0.00578000,-0.01055000,-0.01055000,Very short A2 remains below m SAR final and safe threshold; B=1 is placeholder only.
M2,m A2 lr1e-4 short5 + B1 placeholder,main_4090,m,0,completed,a2,no,"EPOCHS_A2=5, A2_LR0=1e-4, B=1 placeholder",0.65533000,0.65533000,0.64735000,2,0.64416000,0.62830000,1,0.62830000,,,,0.64735000,2,0.64416000,0.00319000,0.6558,0.64903,0.6538,-0.00845000,-0.00487000,-0.00645000,-0.00964000,Lower A2 LR improves over M1 but still below m SAR final and safe threshold.
M3,m A2 lr3e-4 short4 freezeBN + B1 placeholder on AutoDL,autodl,m,0,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, A2_FREEZE_BN_STATS=1, B=1 placeholder",0.65533000,0.65533000,0.64189000,4,0.64189000,0.62713000,1,0.62713000,,,,0.64189000,4,0.64189000,0.00000000,0.6558,0.64903,0.6538,-0.01391000,-0.00714000,-0.01191000,-0.01191000,A2 BN freeze does not rescue m; result is worse than main-server M1/M2.
M1_auto,m A2 lr3e-4 short4 duplicate on AutoDL,autodl,m,0,completed-duplicate,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder, AutoDL duplicate",0.65533000,0.65533000,0.64189000,4,0.64189000,0.62713000,1,0.62713000,,,,0.64189000,4,0.64189000,0.00000000,0.6558,0.64903,0.6538,-0.01391000,-0.00714000,-0.01191000,-0.01191000,"Secondary AutoDL duplicate/replicate; use as environment evidence, not primary result."
Hallu_b8_aborted,HalluciDet n b8 AutoDL aborted,autodl,n,0,terminated,train,no,"HalluciDet standalone n, batch8, terminated at 5 rows",,,,,,,,,0.10057387,1,0.08794306,0.10057387,1,0.08794306,0.01263081,0.55654,0.55127,,-0.45596613,-0.46332694,,,Terminated before meaningful convergence; not a valid comparison result. HalluciDet b16 is still running and excluded here.
