epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
11,b,0.009939057285945931,0.009939057285945931,0.009939057285945931,1.20655,0.70937,0.96159,0.1694,0.00204,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.7501678466797,1.1983686685562134,4.266389846801758,33.41541290283203,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
12,b,0.009926291164466132,0.009926291164466132,0.009926291164466132,1.20093,0.70364,0.96324,0.16612,0.00203,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.69189453125,1.2182543277740479,4.468478679656982,32.91776657104492,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
13,b,0.00991232189110701,0.00991232189110701,0.00991232189110701,1.20739,0.70701,0.96358,0.15608,0.00208,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.28860473632812,1.2523775100708008,4.601379871368408,34.70798873901367,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
14,b,0.00989715291257774,0.00989715291257774,0.00989715291257774,1.20306,0.70086,0.96126,0.15045,0.00203,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.70663452148438,1.2685679197311401,4.595734119415283,33.328086853027344,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
15,b,0.0098807879715968,0.0098807879715968,0.0098807879715968,1.20019,0.70068,0.96093,0.15181,0.00209,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.68174743652344,1.291442632675171,4.75248384475708,31.232553482055664,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
16,b,0.009863231105968498,0.009863231105968498,0.009863231105968498,1.20561,0.70572,0.961,0.14671,0.00211,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.97804260253906,1.307057499885559,4.784975528717041,31.465042114257812,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
17,b,0.009844486647586725,0.009844486647586725,0.009844486647586725,1.2003,0.70136,0.95915,0.14548,0.00211,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.5576171875,1.3189996480941772,4.860809326171875,34.143898010253906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
18,b,0.0098245592213661,0.0098245592213661,0.0098245592213661,1.20052,0.70036,0.96144,0.13895,0.0022,0.15329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.29360961914062,1.3416553735733032,4.93553352355957,33.29369354248047,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
19,b,0.009803453744100868,0.009803453744100868,0.009803453744100868,1.19825,0.69916,0.9609,0.13744,0.00211,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.71212768554688,1.3584909439086914,4.982734203338623,30.823261260986328,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
20,b,0.009781175423251735,0.009781175423251735,0.009781175423251735,1.19875,0.69604,0.96003,0.13223,0.0021,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.89178466796875,1.3797012567520142,5.111760139465332,27.21596908569336,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
21,b,0.009757729755661011,0.009757729755661011,0.009757729755661011,1.20026,0.69908,0.96073,0.13038,0.00216,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.23483276367188,1.3876917362213135,5.174828052520752,31.588348388671875,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
22,b,0.009733122526196349,0.009733122526196349,0.009733122526196349,1.194,0.69493,0.95857,0.12737,0.0021,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.79957580566406,1.4038804769515991,5.258939743041992,30.57269859313965,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
23,b,0.009707359806323416,0.009707359806323416,0.009707359806323416,1.19664,0.69512,0.95799,0.12074,0.00218,0.15329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1003875732422,1.4184900522232056,5.21838903427124,34.80989074707031,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
24,b,0.009680447952607843,0.009680447952607843,0.009680447952607843,1.1983,0.69277,0.95832,0.11682,0.0021,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.11398315429688,1.4189536571502686,5.215839862823486,33.33323669433594,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
25,b,0.009652393605146845,0.009652393605146845,0.009652393605146845,1.19494,0.69319,0.95802,0.11452,0.00213,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.55393981933594,1.4307175874710083,5.347996711730957,33.51774597167969,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
26,b,0.00962320368593087,0.00962320368593087,0.00962320368593087,1.19122,0.69081,0.95677,0.11375,0.00214,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.95440673828125,1.4439748525619507,5.30912446975708,31.950620651245117,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
27,b,0.009592885397135707,0.009592885397135707,0.009592885397135707,1.19152,0.68786,0.95852,0.11066,0.00211,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.21633911132812,1.4560699462890625,5.4246649742126465,35.41980743408203,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
28,b,0.009561446219345454,0.009561446219345454,0.009561446219345454,1.18636,0.68727,0.95672,0.10816,0.00218,0.15329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0097198486328,1.46025812625885,5.48333740234375,33.186405181884766,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
29,b,0.009528893909706798,0.009528893909706798,0.009528893909706798,1.18788,0.68576,0.957,0.10526,0.00212,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.77162170410156,1.4738434553146362,5.525209903717041,31.63567352294922,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
30,b,0.009495236500015047,0.009495236500015047,0.009495236500015047,1.18765,0.68638,0.95561,0.10069,0.00208,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.075927734375,1.4744770526885986,5.441465377807617,32.29510498046875,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
31,b,0.009460482294732422,0.009460482294732422,0.009460482294732422,1.18312,0.6847,0.95705,0.10141,0.00212,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.2195587158203,1.4877153635025024,5.607945919036865,32.16436767578125,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
32,b,0.009424639868939034,0.009424639868939034,0.009424639868939034,1.18925,0.68866,0.95648,0.09703,0.00219,0.15329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.79046630859375,1.4826099872589111,5.494900226593018,33.65657424926758,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
33,b,0.009387718066217125,0.009387718066217125,0.009387718066217125,1.18316,0.68406,0.95625,0.09259,0.00211,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.46762084960938,1.4972608089447021,5.581014633178711,38.09342575073242,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
34,b,0.009349725996469046,0.009349725996469046,0.009349725996469046,1.1893,0.68324,0.95731,0.09008,0.0021,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.64988708496094,1.5020591020584106,5.654272079467773,35.943092346191406,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,1,0,0,0.1,1.0,1.0,1.0
