epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
17,3906.37,1.20046,0.70022,0.95924,0,0.01067,0.00205,0.15327,0.58508,0.14164,0.00541,0.00205,2.34255,2.3405,0.49576,0.05688,0.52876,0.49476,0.73046,0.65276,0.69512,0.45604,1.17556,0.66224,0.93738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45604,0.00984449,0.00984449,0.00984449
18,4141.69,1.20064,0.70016,0.96128,0,0.0105,0.00203,0.15327,0.58576,0.13691,0.00525,0.00203,2.33768,2.33565,0.49334,0.05664,0.52682,0.49233,0.68283,0.64254,0.67902,0.44955,1.1752,0.66311,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44955,0.00982456,0.00982456,0.00982456
19,4378.23,1.19859,0.69847,0.96107,0,0.01039,0.00204,0.15327,0.58575,0.13305,0.00511,0.00204,2.34103,2.33899,0.49194,0.05678,0.52719,0.49088,0.73301,0.65746,0.71044,0.46712,1.17195,0.65738,0.93496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46712,0.00980345,0.00980345,0.00980345
20,4610.3,1.19797,0.69563,0.95955,0,0.01025,0.00204,0.15327,0.58312,0.13084,0.00495,0.00204,2.34022,2.33818,0.49402,0.05727,0.52846,0.49297,0.73064,0.64947,0.70372,0.46449,1.16995,0.65922,0.93467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46449,0.00978118,0.00978118,0.00978118
21,4844.47,1.19876,0.69806,0.95974,0,0.01012,0.00205,0.15327,0.58405,0.12702,0.00484,0.00205,2.33883,2.33678,0.49576,0.05742,0.52891,0.49472,0.72862,0.65345,0.70881,0.47092,1.17002,0.65146,0.93431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47092,0.00975773,0.00975773,0.00975773
22,5078.74,1.19336,0.69451,0.95782,0,0.01002,0.00202,0.15327,0.58275,0.12551,0.00472,0.00202,2.33809,2.33607,0.49481,0.0579,0.52968,0.49375,0.71518,0.66306,0.70681,0.46626,1.17228,0.65297,0.93585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46626,0.00973312,0.00973312,0.00973312
23,5310.55,1.1962,0.69555,0.95724,0,0.00991,0.00206,0.15327,0.58229,0.12156,0.00465,0.00206,2.35132,2.34926,0.49481,0.05801,0.52878,0.49377,0.72359,0.66083,0.70786,0.47212,1.17112,0.65025,0.9341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47212,0.00970736,0.00970736,0.00970736
24,5544.59,1.19841,0.69459,0.95799,0,0.00978,0.00201,0.15326,0.58012,0.11756,0.00452,0.00201,2.34529,2.34328,0.49301,0.05837,0.53097,0.49186,0.7466,0.65653,0.71397,0.47661,1.16458,0.64549,0.93429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47661,0.00968045,0.00968045,0.00968045
25,5777.88,1.1949,0.69403,0.95756,0,0.00969,0.00202,0.15327,0.58428,0.11359,0.00441,0.00202,2.34228,2.34024,0.49519,0.05795,0.53079,0.49413,0.71501,0.6615,0.70121,0.46579,1.1645,0.64662,0.93381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46579,0.00965239,0.00965239,0.00965239
26,6010.39,1.19104,0.69011,0.95682,0,0.00959,0.00206,0.15327,0.58107,0.1106,0.00433,0.00206,2.33953,2.33747,0.49404,0.05894,0.53147,0.49294,0.73894,0.66619,0.71556,0.47547,1.16545,0.64193,0.93333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47547,0.0096232,0.0096232,0.0096232
27,6244.22,1.19152,0.68785,0.9582,0,0.0095,0.00204,0.15327,0.57999,0.10744,0.00423,0.00204,2.33587,2.33383,0.49625,0.05938,0.53436,0.49511,0.73287,0.6606,0.71594,0.47764,1.16248,0.64058,0.93227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47764,0.00959289,0.00959289,0.00959289
