epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.0033303703703703703,0.0033303703703703703,0.07002666666666667,1.07979,0.58511,0.92447,0.66456,0.00159,0.1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.7037124633789,0.8423348665237427,2.75876784324646,24.532506942749023,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
2,b,0.006663296771832211,0.006663296771832211,0.04002625973479517,1.11084,0.61061,0.93307,0.19939,0.0015,0.15319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.93408966064453,0.8465017676353455,2.8291046619415283,24.143098831176758,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
3,b,0.009994595234558873,0.009994595234558873,0.010024224864188497,1.15907,0.656,0.94666,0.19698,0.0016,0.15321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.81669616699219,0.8762674331665039,2.9577507972717285,26.631284713745117,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
4,b,0.009994504881061753,0.009994504881061753,0.009994504881061753,1.20689,0.70763,0.96231,0.20014,0.00175,0.15323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.97330474853516,0.9417988657951355,3.2803430557250977,27.738224029541016,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
5,b,0.009990232305719944,0.009990232305719944,0.009990232305719944,1.20754,0.71073,0.96459,0.19243,0.00177,0.15323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.04354095458984,0.995939314365387,3.5591564178466797,26.51927947998047,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
6,b,0.009984740801978984,0.009984740801978984,0.009984740801978984,1.21161,0.71323,0.96504,0.19043,0.00187,0.15324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.046875,1.0390180349349976,3.6852407455444336,24.704734802246094,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
7,b,0.009978031724785246,0.009978031724785246,0.009978031724785246,1.2108,0.71062,0.96493,0.18241,0.00183,0.15324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0218734741211,1.0701680183410645,3.8399391174316406,25.959049224853516,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
8,b,0.00997010672950314,0.00997010672950314,0.00997010672950314,1.20848,0.7088,0.96346,0.17663,0.00191,0.15325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.27960968017578,1.110558271408081,4.07544469833374,29.031452178955078,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
9,b,0.009960967771506665,0.009960967771506665,0.009960967771506665,1.21274,0.71312,0.96473,0.17663,0.00188,0.15325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.07669067382812,1.1463656425476074,4.221790790557861,32.909637451171875,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
10,b,0.00995061710569696,0.00995061710569696,0.00995061710569696,1.20649,0.70775,0.96288,0.17129,0.00195,0.15326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.92982482910156,1.1722105741500854,4.448891639709473,32.3469352722168,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0,0.1,1.0,1.0,1.0
