method,role,status,active,progress,csv_rows,latest_epoch,latest_AP50-95,latest_AP50,best_AP50-95,best_epoch,late5,late10,late20,late50,latest_delta,late20_delta,epoch100_delta,positive_epochs,eta
detonly_control,baseline,baseline,yes,640/800,640/800,640,0.53883,0.80464,0.53924,639,0.538828,0.538378,0.5373079999999999,0.5337272,,,,NA,NA
dynamic_plain,candidate,PROMISING_EARLY,yes,412/800,412/800,412,0.49778,0.76446,0.49778,412,0.49749800000000005,0.496756,0.4957365,0.49217419999999995,0.01641999999999999,0.016948999999999985,0.006220000000000003,390/412,NA
dynamic_wo_s_rec,candidate,PROMISING_EARLY,yes,541/800,541/800,541,0.52954,0.79809,0.52954,541,0.528928,0.528211,0.5269985,0.5241208,0.01197999999999999,0.012451499999999999,0.0036399999999999766,519/541,NA
dynamic_singleproj,candidate,PROMISING_EARLY,yes,509/800,509/800,509,0.52469,0.79668,0.52469,509,0.523868,0.5230469999999999,0.521588,0.516806,0.016699999999999937,0.015802999999999977,0.00043999999999999595,470/509,NA
dynamic_rawinput,candidate,PROMISING_EARLY,yes,390/800,390/800,390,0.49071,0.75379,0.49071,390,0.49007199999999995,0.489421,0.48827299999999996,0.4847056,0.014939999999999953,0.014482499999999995,0.01085999999999998,369/390,NA
dynamic_capR2,candidate,WATCH,yes,176/800,176/800,176,0.39516,0.6406,0.39516,176,0.39416999999999996,0.39304300000000003,0.3901745,0.3815408,0.006170000000000009,0.006686500000000003,0.006220000000000003,154/176,NA
dynamic_capR4,candidate,WATCH,yes,180/800,180/800,180,0.39668,0.64837,0.39668,180,0.395212,0.393762,0.390944,0.3819066,0.006119999999999959,0.005267999999999992,0.003149999999999986,137/180,NA
plain_detach_reach_probe,candidate,pre100,yes,51/800,51/800,51,0.29106,0.53123,0.29106,51,0.28609799999999996,0.277856,0.260066,0.1861678,-0.0016500000000000403,-0.0004975000000000021,,23/51,NA
studentz_split_detach,candidate,pre100,yes,3/800,3/800,3,0.01803,0.05632,0.03914,1,0.030480000000000004,0.030480000000000004,0.030480000000000004,0.030480000000000004,0.01408,-0.002513333333333333,,1/3,NA
studentz_singleproj_detach,candidate,pre100,yes,3/800,3/800,3,0.01609,0.05739,0.0452,1,0.031516666666666665,0.031516666666666665,0.031516666666666665,0.031516666666666665,0.01214,-0.0014766666666666695,,1/3,NA
