# source_log: /mnt/dataY/ydf/projects/LADD_og/logs/formal_nomosaic_20260528/baselines/rgb_yolo11n_hbb_800ep_cos_nomosaic_albu_b64_s42_gpu5.log
# source_log_size_bytes: 33783947
# note: extracted from raw log; ANSI progress control characters removed; full raw log retained on server 90.

800/800      2.53G      0.862     0.4117      0.807        125        256: 33% ━━━╸──────── 76/230 3.1it/s 24.4s<50.0s
800/800      2.53G      0.861     0.4116     0.8068        115        256: 33% ━━━━──────── 77/230 3.1it/s 24.7s<49.4s
800/800      2.53G     0.8638     0.4124     0.8068        160        256: 34% ━━━━──────── 78/230 3.1it/s 25.0s<48.3s
800/800      2.53G     0.8632      0.412     0.8069        115        256: 34% ━━━━──────── 79/230 3.2it/s 25.3s<47.1s
800/800      2.53G     0.8631     0.4119     0.8074        147        256: 35% ━━━━──────── 80/230 3.2it/s 25.7s<47.3s
800/800      2.53G     0.8629     0.4122      0.807        172        256: 35% ━━━━──────── 81/230 3.2it/s 26.0s<47.1s[ WARN:0@182026.332] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8623     0.4118     0.8071        164        256: 36% ━━━━──────── 82/230 3.2it/s 26.3s<46.5s
800/800      2.53G     0.8641     0.4123     0.8071        194        256: 36% ━━━━──────── 83/230 3.2it/s 26.6s<46.1s
800/800      2.53G     0.8663     0.4131     0.8078        128        256: 37% ━━━━──────── 84/230 3.2it/s 26.9s<45.8s
800/800      2.53G     0.8639     0.4122     0.8083        109        256: 37% ━━━━──────── 85/230 3.2it/s 27.2s<45.7s
800/800      2.53G     0.8654     0.4128     0.8084        152        256: 37% ━━━━──────── 86/230 3.1it/s 27.6s<45.9s
800/800      2.53G     0.8675     0.4131     0.8082        245        256: 38% ━━━━╸─────── 87/230 3.1it/s 27.9s<46.7s
800/800      2.53G     0.8686     0.4133      0.808        140        256: 38% ━━━━╸─────── 88/230 3.1it/s 28.2s<46.2s[ WARN:0@182028.615] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8676     0.4128      0.808        169        256: 39% ━━━━╸─────── 89/230 3.1it/s 28.5s<45.0s
800/800      2.53G     0.8671     0.4128     0.8082        187        256: 39% ━━━━╸─────── 90/230 3.2it/s 28.8s<44.2s
800/800      2.53G     0.8659     0.4124     0.8085        110        256: 40% ━━━━╸─────── 91/230 3.0it/s 29.2s<45.8s
800/800      2.53G     0.8645     0.4118     0.8083        141        256: 40% ━━━━╸─────── 92/230 3.1it/s 29.5s<45.1s
800/800      2.53G     0.8644     0.4116     0.8085        121        256: 40% ━━━━╸─────── 93/230 3.1it/s 29.8s<44.3s
800/800      2.53G     0.8647     0.4118     0.8087        126        256: 41% ━━━━╸─────── 94/230 3.2it/s 30.1s<43.0s
800/800      2.53G     0.8646     0.4116     0.8089        160        256: 41% ━━━━╸─────── 95/230 3.2it/s 30.5s<42.4s
800/800      2.53G     0.8661     0.4121      0.809        149        256: 42% ━━━━━─────── 96/230 3.2it/s 30.8s<41.6s
800/800      2.53G     0.8667     0.4121     0.8094        127        256: 42% ━━━━━─────── 97/230 3.2it/s 31.1s<42.0s
800/800      2.53G     0.8668     0.4121     0.8096        149        256: 43% ━━━━━─────── 98/230 3.2it/s 31.4s<41.3s
800/800      2.53G     0.8653     0.4116     0.8097        116        256: 43% ━━━━━─────── 99/230 3.3it/s 31.7s<40.2s
800/800      2.53G     0.8652     0.4115     0.8094        164        256: 43% ━━━━━─────── 100/230 3.2it/s 32.0s<40.5s[ WARN:0@182032.350] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      2.53G     0.8656     0.4118     0.8094        135        256: 44% ━━━━━─────── 101/230 3.1it/s 32.3s<41.2s
800/800      2.53G     0.8661     0.4122     0.8092        167        256: 44% ━━━━━─────── 102/230 3.1it/s 32.7s<41.8s
800/800      2.53G      0.866     0.4122     0.8092        167        256: 45% ━━━━━─────── 103/230 3.1it/s 33.0s<40.9s
800/800      2.53G     0.8643     0.4119     0.8093        115        256: 45% ━━━━━─────── 104/230 3.1it/s 33.3s<40.1s
