# source_log: /mnt/dataY/ydf/projects/LADD_og/logs/formal_nomosaic_20260528/baselines/rgb_yolo11s_hbb_800ep_cos_nomosaic_albu_b64_s0_gpu5.log
# source_log_size_bytes: 33786135
# note: extracted from raw log; ANSI progress control characters removed; full raw log retained on server 90.

800/800      3.56G     0.6609     0.3194     0.7932        129        256: 19% ━━────────── 43/230 2.6it/s 16.4s<1:11
800/800      3.56G     0.6587     0.3188      0.793        127        256: 19% ━━────────── 44/230 2.5it/s 16.8s<1:13
800/800      3.56G     0.6574     0.3181     0.7932        135        256: 20% ━━────────── 45/230 2.6it/s 17.2s<1:12
800/800      3.56G     0.6566     0.3174     0.7927        149        256: 20% ━━────────── 46/230 2.6it/s 17.6s<1:11
800/800      3.56G     0.6576     0.3178     0.7923        124        256: 20% ━━────────── 47/230 2.7it/s 18.0s<1:09
800/800      3.56G     0.6555     0.3168      0.792        127        256: 21% ━━╸───────── 48/230 2.7it/s 18.3s<1:08
800/800      3.56G     0.6551     0.3163     0.7928        125        256: 21% ━━╸───────── 49/230 2.8it/s 18.7s<1:06
800/800      3.56G      0.653     0.3161     0.7931        123        256: 22% ━━╸───────── 50/230 2.8it/s 19.0s<1:04
800/800      3.56G     0.6521     0.3158     0.7927        136        256: 22% ━━╸───────── 51/230 2.6it/s 19.5s<1:09
800/800      3.56G     0.6574     0.3171     0.7927        287        256: 23% ━━╸───────── 52/230 2.5it/s 19.9s<1:10
800/800      3.56G     0.6595     0.3179     0.7928        146        256: 23% ━━╸───────── 53/230 2.7it/s 20.2s<1:06
800/800      3.56G     0.6621     0.3187     0.7926        188        256: 23% ━━╸───────── 54/230 2.7it/s 20.6s<1:04[ WARN:0@123577.712] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      3.56G     0.6642     0.3187     0.7922        212        256: 24% ━━╸───────── 55/230 2.7it/s 20.9s<1:04
800/800      3.56G     0.6652     0.3195     0.7923        159        256: 24% ━━╸───────── 56/230 2.8it/s 21.3s<1:02
800/800      3.56G     0.6655     0.3199     0.7926        141        256: 25% ━━╸───────── 57/230 2.8it/s 21.7s<1:03
800/800      3.56G     0.6685     0.3206     0.7927        173        256: 25% ━━━───────── 58/230 2.9it/s 22.0s<1:00
800/800      3.56G     0.6671     0.3203     0.7926        127        256: 26% ━━━───────── 59/230 2.9it/s 22.3s<58.5s
800/800      3.56G     0.6672     0.3202     0.7926        121        256: 26% ━━━───────── 60/230 2.9it/s 22.6s<58.2s
800/800      3.56G     0.6687     0.3208     0.7927        129        256: 27% ━━━───────── 61/230 2.8it/s 23.1s<1:01
800/800      3.56G     0.6685      0.321     0.7926        148        256: 27% ━━━───────── 62/230 2.8it/s 23.4s<59.9s
800/800      3.56G     0.6698     0.3213     0.7921        178        256: 27% ━━━───────── 63/230 2.9it/s 23.7s<57.5s
800/800      3.56G     0.6708     0.3216     0.7921        131        256: 28% ━━━───────── 64/230 3.0it/s 24.1s<56.1s[ WARN:0@123581.196] global grfmt_tiff.cpp:122 TIFF_Warning TIFFReadDirectory: Unknown field with tag 34264 (0x85d8) encountered
800/800      3.56G     0.6721     0.3221      0.792        197        256: 28% ━━━───────── 65/230 2.9it/s 24.4s<57.5s
800/800      3.56G     0.6709     0.3217     0.7917        120        256: 29% ━━━───────── 66/230 2.9it/s 24.8s<56.3s
