group,run,rows,latest_epoch,latest_ap50,latest_ap,best_ap50,best_ap50_epoch,best_ap,best_ap_epoch,source_csv
yolo11n,SAR baseline n,800,801,0.81755,0.53836,0.81941,761,0.54091,747,source/mnt/dataY/ydf/projects/LADD_og/legacy_results_archive/pre_formal_nomosaic_20260528/runs_public/ogsod/hbb/baseline_controls/cos_closeAt100_E800_20260524/sar_yolo11n_hbb_800ep_cos_closeAt100_pat80_s0_gpu4/results.csv
yolo11n,Old cap2 full B s0,800,801,0.84888,0.56792,0.84962,797,0.56841,799,source/docs/experiments/ladd_mosaic90_20260528_artifacts/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s0_b_e800_b64_s0_gpu4/results.csv
yolo11n,Old cap2 full B s42,800,801,0.84345,0.56044,0.84864,743,0.56799,751,source/docs/experiments/ladd_mosaic90_20260528_artifacts/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s42_b_e800_b64_s42_gpu3/results.csv
yolo11n,Old cap2 full B s123,800,801,0.83592,0.56163,0.83626,792,0.56163,801,source/docs/experiments/ladd_mosaic90_20260528_artifacts/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s123_b_e800_b64_s123_gpu5/results.csv
yolo11n,Current A2last s0,653,654,0.83819,0.55858,0.83902,650,0.55884,650,source/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s0_b_e800_b64_s0_gpu1/results.csv
yolo11n,Current A2last s123,219,220,0.72482,0.45682,0.72482,220,0.45682,220,source/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s123_b_e800_b64_s123_gpu3/results.csv
yolo11n,Current skipA2 from A1 s42,659,660,0.83618,0.55900,0.83700,657,0.55900,660,source/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a1best_skipa2_cap2_s42_b_e800_b64_s42_gpu1/results.csv
yolo11s,SAR baseline s,800,801,0.90576,0.61570,0.90837,761,0.61972,771,source/runs_public/ogsod/hbb/baseline_controls/mosaic_baselines_20260615/sar_yolo11s_hbb_mosaicE800_closeAt100_s0_gpu1_20260615/results.csv
yolo11s,RGB teacher s,759,760,0.94509,0.65818,0.94702,673,0.66029,680,source/runs_public/ogsod/hbb/baseline_controls/mosaic_baselines_20260615/rgb_yolo11s_hbb_mosaicE800_closeAt100_s0_gpu1_20260615/results.csv
yolo11s,Current skipA2 from A1 s42,11,12,0.51148,0.23997,0.81994,2,0.48902,2,source/runs_public/ogsod/hbb/ladd_mosaic_s_20260616/ladd_hbb_ogsod11s_mosaic_yolo11s_cap2_s42_A1best_skipA2_B_20260616_b_e800_b64_s42_gpu1/results.csv
yolo11s,Current A1A2 s0 A2 phase,9,10,0.44925,0.22373,0.86361,2,0.55220,2,source/runs_public/ogsod/hbb/ladd_mosaic_s_20260616/ladd_hbb_ogsod11s_mosaic_yolo11s_cap2_s0_mainline_A1A2B_20260616_a2_e50_b64_s0_gpu1/results.csv
yolo11s,Current A1A2 s42 A2 phase,24,25,0.61692,0.33825,0.81105,2,0.47968,2,source/runs_public/ogsod/hbb/ladd_mosaic_s_20260616/ladd_hbb_ogsod11s_mosaic_yolo11s_cap2_s42_mainline_A1A2B_20260616_a2_e50_b64_s42_gpu5/results.csv
