epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,3246.31,2.26204,1.58976,1.14695,1.98266,1.33648,1.12533,2.24601,0.531822,0.4453,0.442891,0.225666,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,3364.02,2.25227,1.5743,1.13541,1.98306,1.33619,1.11949,2.25431,0.543239,0.452025,0.462853,0.235533,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,3482.3,2.25951,1.57837,1.13648,1.96654,1.3076,1.1088,2.31198,0.530739,0.450542,0.45295,0.228755,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,3600.72,2.24326,1.56023,1.13597,1.97053,1.3102,1.11425,2.28689,0.557819,0.460907,0.468448,0.242308,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,3718.76,2.24754,1.54731,1.12863,1.97219,1.31291,1.10888,2.20516,0.554466,0.472597,0.476081,0.247085,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,3835.99,2.24639,1.54915,1.12914,1.97098,1.3069,1.10992,2.35618,0.573183,0.475464,0.485059,0.253775,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,3953.72,2.22877,1.53199,1.12604,1.94805,1.28827,1.10513,2.20966,0.555282,0.466559,0.472156,0.245648,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,4070.95,2.22466,1.51857,1.12045,1.95793,1.28682,1.10282,2.22163,0.565816,0.467713,0.477787,0.252387,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,4188.41,2.20256,1.52265,1.12381,1.92916,1.2636,1.09977,2.19219,0.575476,0.479734,0.492596,0.262094,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,4307.42,2.19764,1.49891,1.12423,1.94274,1.27284,1.10247,2.26264,0.588976,0.489039,0.502675,0.268125,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
40,4426.84,2.19062,1.48596,1.12045,1.92526,1.26348,1.10119,2.21024,0.585937,0.487052,0.499237,0.264183,nan,nan,nan,nan,nan,nan,nan,0.00903475,0.00903475,0.00903475
41,4545.16,2.19503,1.48464,1.11396,1.93155,1.26955,1.09934,2.25662,0.579837,0.503011,0.51096,0.273005,nan,nan,nan,nan,nan,nan,nan,0.00901,0.00901,0.00901
42,4664.06,2.19742,1.49216,1.11422,1.92703,1.26206,1.09473,2.2745,0.589283,0.505351,0.517296,0.277676,nan,nan,nan,nan,nan,nan,nan,0.00898525,0.00898525,0.00898525
