epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
17,343.587,1.40279,0.99612,1.0272,0,0.00846,0.00586,0.15382,0.72383,0.03773,0.00301,0.00586,2.74435,2.73848,0.48929,0.05404,0.52177,0.48854,0.34172,0.44667,0.36971,0.21571,1.37842,0.9442,1.00455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21571,0.00109372,0.00109372,0.00109372
18,359.084,1.40624,0.99395,1.03568,0,0.00845,0.00649,0.15391,0.72017,0.04208,0.00319,0.00649,2.73954,2.73306,0.48928,0.0545,0.52292,0.48853,0.3353,0.45013,0.35377,0.21098,1.37592,0.97744,1.00523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21098,0.00109151,0.00109151,0.00109151
19,378.427,1.39441,0.97508,1.03058,0,0.00833,0.00567,0.15379,0.71058,0.04262,0.00331,0.00567,2.70543,2.69976,0.48832,0.0532,0.52289,0.48758,0.38235,0.43651,0.37034,0.22322,1.33837,0.95861,1.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22322,0.00108916,0.00108916,0.00108916
20,393.758,1.3778,0.96071,1.02207,0,0.00804,0.00599,0.15383,0.69382,0.04409,0.00323,0.00599,2.69776,2.69178,0.48817,0.05361,0.522,0.48744,0.35119,0.43689,0.35997,0.21213,1.41972,0.99106,1.02095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21213,0.00108669,0.00108669,0.00108669
21,410.014,1.36382,0.93799,1.01796,0,0.00806,0.00572,0.15379,0.69645,0.04928,0.00342,0.00572,2.69478,2.68906,0.48805,0.05335,0.52257,0.48731,0.40435,0.46273,0.38858,0.23714,1.32831,0.91733,0.99423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23714,0.00108408,0.00108408,0.00108408
22,425.416,1.37958,0.94197,1.02003,0,0.00797,0.00598,0.15383,0.69145,0.04792,0.00352,0.00598,2.69026,2.68428,0.48763,0.05392,0.52203,0.48686,0.41663,0.44902,0.40196,0.24363,1.34868,0.91537,0.99913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24363,0.00108135,0.00108135,0.00108135
23,446.652,1.38293,0.96141,1.02727,0,0.00792,0.00597,0.15383,0.69861,0.05403,0.00365,0.00597,2.6826,2.67663,0.4882,0.05327,0.52022,0.48744,0.39807,0.45787,0.3862,0.22881,1.33731,0.97627,0.98989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22881,0.00107849,0.00107849,0.00107849
24,463.754,1.36426,0.92284,1.02044,0,0.0079,0.00569,0.15379,0.68906,0.05309,0.00369,0.00569,2.67472,2.66903,0.48928,0.05277,0.52276,0.4885,0.33536,0.4229,0.34136,0.19509,1.38424,0.9601,1.00774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19509,0.0010755,0.0010755,0.0010755
25,479.675,1.36473,0.92052,1.01252,0,0.00762,0.00615,0.15386,0.68855,0.06335,0.00368,0.00615,2.66142,2.65527,0.48865,0.05374,0.52326,0.4879,0.43205,0.47441,0.40283,0.24491,1.32671,0.92864,0.99262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24491,0.00107238,0.00107238,0.00107238
26,499.226,1.37031,0.924,1.01441,0,0.00767,0.00591,0.15382,0.6842,0.06695,0.00389,0.00591,2.66488,2.65897,0.49047,0.05296,0.5269,0.48964,0.375,0.4516,0.39723,0.2311,1.35983,0.96542,0.99274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2311,0.00106914,0.00106914,0.00106914
