               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.061791,           0.0064841,           0.0027361,             0.58375,             0.42172,             0.42141,             0.19383,            0.052761,           0.0043554,           0.0010809,           0.0091585,           0.0091585,           0.0091585
                  36,            0.061516,           0.0064916,           0.0023334,             0.58206,             0.42648,             0.41906,             0.18719,            0.052245,           0.0043576,            0.001055,           0.0091337,           0.0091337,           0.0091337
                  37,            0.062094,           0.0065663,           0.0027391,             0.62803,             0.41587,             0.42601,             0.19215,            0.052099,            0.004356,           0.0010714,            0.009109,            0.009109,            0.009109
                  38,            0.061261,           0.0064554,           0.0024843,             0.56953,             0.42988,             0.42495,             0.19551,             0.05215,           0.0043538,           0.0010916,           0.0090843,           0.0090843,           0.0090843
                  39,             0.06169,           0.0065624,             0.00246,             0.60861,             0.43931,             0.44371,             0.20393,            0.051372,           0.0043208,           0.0010782,           0.0090595,           0.0090595,           0.0090595
                  40,            0.061151,           0.0066207,           0.0024498,              0.5858,             0.43386,             0.43987,             0.20439,            0.051191,           0.0043118,           0.0010741,           0.0090347,           0.0090347,           0.0090347
                  41,            0.061344,           0.0064792,           0.0025673,             0.56551,             0.44071,             0.43401,             0.20473,            0.050973,            0.004341,           0.0010933,             0.00901,             0.00901,             0.00901
                  42,            0.061317,           0.0065522,           0.0025942,             0.60395,             0.43829,             0.44556,             0.21233,             0.05066,           0.0042717,           0.0010366,           0.0089853,           0.0089853,           0.0089853
                  43,            0.060668,           0.0064009,           0.0023491,             0.60768,             0.45082,             0.44808,             0.21219,             0.05049,           0.0042725,           0.0011194,           0.0089605,           0.0089605,           0.0089605
                  44,            0.060579,           0.0064099,           0.0023256,             0.60347,             0.46254,             0.45829,             0.21737,            0.050222,           0.0042468,           0.0010232,           0.0089358,           0.0089358,           0.0089358
                  45,            0.060777,           0.0064648,           0.0023381,             0.61001,              0.4628,             0.45921,             0.21843,            0.049875,           0.0042443,           0.0010312,            0.008911,            0.008911,            0.008911
