epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,3161.03,2.40714,1.80608,1.19067,2.19934,1.94256,1.16956,2.45938,0.464983,0.388011,0.378859,0.184078,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,3269.67,2.40058,1.79541,1.19391,2.18323,1.90843,1.16941,2.47115,0.46286,0.378759,0.380663,0.184573,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,3380.09,2.38679,1.77657,1.18872,2.18017,1.90148,1.17018,2.41278,0.481004,0.39197,0.387293,0.189375,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,3489.8,2.40615,1.7911,1.19511,2.17524,1.88346,1.15966,2.43162,0.486286,0.383494,0.394645,0.193416,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,3598.64,2.37955,1.77263,1.18768,2.16217,1.87098,1.15639,2.42456,0.471111,0.394442,0.391646,0.195535,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,3707.7,2.38538,1.77457,1.18192,2.16273,1.84403,1.15813,2.49721,0.52261,0.407406,0.407821,0.202065,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,3819.08,2.37996,1.75346,1.17605,2.16249,1.85165,1.14805,2.38811,0.489719,0.402929,0.401489,0.19712,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,3930.19,2.38053,1.77304,1.17917,2.15108,1.83764,1.15459,2.43704,0.482923,0.411152,0.40214,0.200716,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,4040.21,2.38495,1.76161,1.1786,2.16358,1.8484,1.15507,2.37912,0.478932,0.41115,0.406377,0.205106,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,4149.58,2.34313,1.72746,1.17362,2.13356,1.81513,1.15399,2.32865,0.492653,0.415227,0.408588,0.207239,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
40,4258.16,2.35119,1.73261,1.17338,2.13194,1.79498,1.14809,2.28379,0.49214,0.414844,0.41098,0.206116,nan,nan,nan,nan,nan,nan,nan,0.00903475,0.00903475,0.00903475
41,4368.03,2.35619,1.71811,1.17016,2.1393,1.79155,1.14867,2.28235,0.50611,0.421837,0.419077,0.209764,nan,nan,nan,nan,nan,nan,nan,0.00901,0.00901,0.00901
42,4478.86,2.34021,1.71688,1.17805,2.1176,1.777,1.14923,2.34922,0.501763,0.424949,0.424679,0.216493,nan,nan,nan,nan,nan,nan,nan,0.00898525,0.00898525,0.00898525
43,4588.84,2.34777,1.70806,1.16206,2.14357,1.77553,1.14229,2.22377,0.506763,0.416731,0.422229,0.213874,nan,nan,nan,nan,nan,nan,nan,0.0089605,0.0089605,0.0089605
44,4697.73,2.33693,1.71756,1.17046,2.11845,1.76997,1.14426,2.27031,0.511713,0.418967,0.422131,0.212097,nan,nan,nan,nan,nan,nan,nan,0.00893575,0.00893575,0.00893575
45,4806.9,2.34437,1.70004,1.16018,2.14376,1.76671,1.14581,2.20824,0.509656,0.431,0.425566,0.215474,nan,nan,nan,nan,nan,nan,nan,0.008911,0.008911,0.008911
46,4915.93,2.34843,1.69941,1.16212,2.136,1.75302,1.14474,2.17726,0.529527,0.428716,0.432567,0.220169,nan,nan,nan,nan,nan,nan,nan,0.00888625,0.00888625,0.00888625
47,5025.08,2.32154,1.68858,1.16667,2.10221,1.72982,1.14358,2.14375,0.507668,0.433731,0.433404,0.22303,nan,nan,nan,nan,nan,nan,nan,0.0088615,0.0088615,0.0088615
48,5134.07,2.30809,1.67614,1.1642,2.10947,1.74055,1.1446,2.19353,0.528095,0.432059,0.438262,0.225998,nan,nan,nan,nan,nan,nan,nan,0.00883675,0.00883675,0.00883675
49,5243.64,2.31395,1.67511,1.15604,2.11155,1.72618,1.14274,2.15161,0.521038,0.432551,0.439108,0.226373,nan,nan,nan,nan,nan,nan,nan,0.008812,0.008812,0.008812
50,5352.98,2.31068,1.64701,1.14958,2.11122,1.71181,1.13791,2.01565,0.528207,0.440088,0.444479,0.22989,nan,nan,nan,nan,nan,nan,nan,0.00878725,0.00878725,0.00878725
51,5462.63,2.3028,1.65043,1.15502,2.10332,1.70796,1.14181,2.10822,0.527664,0.446634,0.444202,0.230969,nan,nan,nan,nan,nan,nan,nan,0.0087625,0.0087625,0.0087625
52,5579.46,2.31402,1.6628,1.15014,2.10185,1.7091,1.14089,2.07471,0.529518,0.449108,0.450862,0.234982,nan,nan,nan,nan,nan,nan,nan,0.00873775,0.00873775,0.00873775
53,5689.15,2.31608,1.65708,1.15211,2.09529,1.70551,1.13989,2.10793,0.534646,0.445312,0.451704,0.234941,nan,nan,nan,nan,nan,nan,nan,0.008713,0.008713,0.008713
54,5799.02,2.32195,1.66995,1.15207,2.10616,1.70726,1.1405,2.12198,0.552005,0.44863,0.456011,0.237024,nan,nan,nan,nan,nan,nan,nan,0.00868825,0.00868825,0.00868825
55,5922.36,2.2964,1.6524,1.15572,2.08815,1.69091,1.14214,2.01574,0.542201,0.452214,0.457433,0.238522,nan,nan,nan,nan,nan,nan,nan,0.0086635,0.0086635,0.0086635
56,6047.28,2.2931,1.63895,1.15129,2.08388,1.68561,1.14247,2.07949,0.534921,0.457483,0.458704,0.23943,nan,nan,nan,nan,nan,nan,nan,0.00863875,0.00863875,0.00863875
57,6171.48,2.29624,1.65575,1.1483,2.09591,1.68205,1.13905,1.97302,0.54655,0.45698,0.461485,0.240482,nan,nan,nan,nan,nan,nan,nan,0.008614,0.008614,0.008614
58,6295.69,2.2704,1.62803,1.15303,2.08224,1.67427,1.14806,1.97966,0.549143,0.461444,0.462982,0.241439,nan,nan,nan,nan,nan,nan,nan,0.00858925,0.00858925,0.00858925
59,6419.02,2.2817,1.64814,1.15172,2.09488,1.67431,1.14396,1.96461,0.545762,0.457958,0.46361,0.242023,nan,nan,nan,nan,nan,nan,nan,0.0085645,0.0085645,0.0085645
60,6541.37,2.2686,1.60708,1.142,2.07929,1.66735,1.14316,1.87386,0.545136,0.462606,0.466427,0.244187,nan,nan,nan,nan,nan,nan,nan,0.00853975,0.00853975,0.00853975
61,6666.41,2.26563,1.61016,1.14736,2.07949,1.6522,1.1489,1.9432,0.552595,0.460237,0.467178,0.245773,nan,nan,nan,nan,nan,nan,nan,0.008515,0.008515,0.008515
62,6788.71,2.26876,1.619,1.14695,2.10287,1.67593,1.14584,1.88162,0.556218,0.461104,0.469115,0.246296,nan,nan,nan,nan,nan,nan,nan,0.00849025,0.00849025,0.00849025
63,6913.66,2.27029,1.61521,1.14301,2.08924,1.64958,1.1457,1.7937,0.550202,0.464502,0.469959,0.248005,nan,nan,nan,nan,nan,nan,nan,0.0084655,0.0084655,0.0084655
64,7035.93,2.24737,1.59505,1.14344,2.06596,1.64304,1.14733,1.79908,0.54327,0.46875,0.470998,0.249616,nan,nan,nan,nan,nan,nan,nan,0.00844075,0.00844075,0.00844075
65,7159.28,2.26501,1.60249,1.14085,2.07422,1.64324,1.14414,1.85319,0.547716,0.47204,0.473677,0.250588,nan,nan,nan,nan,nan,nan,nan,0.008416,0.008416,0.008416
66,7283.73,2.26273,1.60345,1.13548,2.07648,1.62915,1.13593,1.76719,0.550081,0.468772,0.474086,0.251361,nan,nan,nan,nan,nan,nan,nan,0.00839125,0.00839125,0.00839125
67,7408.44,2.25459,1.5879,1.14369,2.07322,1.63316,1.1463,nan,0.547806,0.469474,0.474873,0.252131,nan,nan,nan,nan,nan,nan,nan,0.0083665,0.0083665,0.0083665
68,7531.33,2.25998,1.58113,1.13606,2.07563,1.62079,1.14224,1.71975,0.549585,0.471542,0.475977,0.252803,nan,nan,nan,nan,nan,nan,nan,0.00834175,0.00834175,0.00834175
69,7655.92,2.23045,1.57261,1.13897,2.0597,1.61336,1.1491,1.71817,0.555899,0.472595,0.477117,0.253139,nan,nan,nan,nan,nan,nan,nan,0.008317,0.008317,0.008317
