epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,240.82,2.84659,3.63256,1.71619,2.80947,4.49495,1.96241,0,0.534973,0.147888,0.108722,0.038765,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,470.129,2.7307,2.64519,1.46305,2.73135,4.44569,1.90445,0,0.616396,0.196391,0.167323,0.0634011,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,695.498,2.68766,2.4342,1.39036,2.66485,4.41051,1.80182,0.0058,0.569023,0.214853,0.16907,0.0649399,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,919.685,2.67177,2.33936,1.35241,2.51976,4.29251,1.6575,0,0.315673,0.199427,0.187285,0.0777032,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,1137.88,2.64843,2.25533,1.32191,2.45097,4.19009,1.53437,0,0.350965,0.223834,0.210396,0.0897304,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,1361.86,2.60785,2.16706,1.29161,2.38173,4.04972,1.43244,0.01547,0.471538,0.223707,0.221692,0.0931242,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,1582.16,2.60228,2.13889,1.28834,2.35877,3.80676,1.37662,0.1491,0.372831,0.251243,0.23634,0.0990894,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,1808.03,2.59899,2.13176,1.27846,2.36767,3.43358,1.36209,2.02066,0.384588,0.243395,0.230346,0.0937334,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,2036.57,2.58302,2.08126,1.26343,2.41336,3.09885,1.3671,2.9529,0.381471,0.274612,0.250812,0.103969,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,2269.95,2.56915,2.05706,1.25522,2.42147,2.87421,1.34799,2.98659,0.38963,0.275607,0.263432,0.10831,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
