version,variant,model,seed,epochs_recorded,last_epoch,best_epoch,best_ap50,best_ap,last_ap50,last_ap,baseline_ap50_400,baseline_ap_400,delta_last_ap50_vs_baseline,delta_last_ap_vs_baseline,status,result_file,args_file
v3_paper_pair_boxdist_20260609,lld,yolo11n,0,400,400,399,0.794091,0.527744,0.794170,0.527620,0.774970,0.515460,0.019200,0.012160,complete,results/lld_paper_pair_boxdist_results.csv,args/lld_paper_pair_boxdist_args.yaml
v3_paper_pair_boxdist_20260609,lld_fld,yolo11n,0,400,400,400,0.797013,0.530729,0.797013,0.530729,0.774970,0.515460,0.022043,0.015269,complete,results/lld_fld_paper_pair_boxdist_results.csv,args/lld_fld_paper_pair_boxdist_args.yaml
v3_paper_pair_boxdist_20260609,lld_fld_rld,yolo11n,0,400,400,400,0.795413,0.527932,0.795413,0.527932,0.774970,0.515460,0.020443,0.012472,complete,results/lld_fld_rld_paper_pair_boxdist_results.csv,args/lld_fld_rld_paper_pair_boxdist_args.yaml
v3_paper_pair_boxdist_20260609,ccl_only,yolo11n,0,400,400,400,0.785596,0.520551,0.785596,0.520551,0.774970,0.515460,0.010626,0.005091,complete,results/ccl_only_paper_pair_boxdist_results.csv,args/ccl_only_paper_pair_boxdist_args.yaml
v3_paper_pair_boxdist_20260609,atkd,yolo11n,0,400,400,399,0.788430,0.524998,0.788921,0.524869,0.774970,0.515460,0.013951,0.009409,complete,results/atkd_paper_pair_boxdist_results.csv,args/atkd_paper_pair_boxdist_args.yaml
v3_paper_pair_boxdist_20260609,full,yolo11n,0,400,400,400,0.787642,0.525314,0.787642,0.525314,0.774970,0.515460,0.012672,0.009854,complete,results/full_paper_pair_boxdist_results.csv,args/full_paper_pair_boxdist_args.yaml
