evidence_group,model,protocol,schedule,run_key,label,init_source,rows_recorded,best_ap,best_epoch,last_ap,status,caveat,source
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N0_yoloinit_detonly_B800sched,N0 YOLO-init det-only B800sched,"YOLO init detector, det-only control",332,0.45155,332,0.45155,running snapshot,YOLO initial detector; no LADD loss.,ladd/results/b800_restart_20260614/evidence_raw/autodl/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N0_yoloinit_detonly_20260614_autodl_b_e800_b64_s0_gpu0/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N1_basebest_continue_B800sched,N1 SAR-best det-only B800sched,"converged SAR baseline best checkpoint, det-only control",332,0.57521,324,0.57494,running snapshot,SAR baseline best checkpoint continued with detection-only B.,ladd/results/b800_restart_20260614/evidence_raw/autodl/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N1_basebest_continue_20260614_autodl_b_e800_b64_s0_gpu0/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N1_baselast_continue_B800sched,N1 SAR-last det-only B800sched,"converged SAR baseline last checkpoint, det-only control",338,0.57687,337,0.57661,running snapshot,SAR baseline last checkpoint continued with detection-only B.,ladd/results/b800_restart_20260614/evidence_raw/autodl/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N1_baselast_continue_20260614_autodl_b_e800_b64_s0_gpu0/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N2_a2best_continue_B800sched,N2 A2-best full LADD B800sched,"A2 best full checkpoint, full LADD B",229,0.55681,214,0.54271,"stopped, NaN",Continues from A2 best checkpoint; crashed after NaN recovery failed.,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N2_a2best_continue_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N2_a2last_continue_B800sched,N2 A2-last full LADD B800sched,"A2 last full checkpoint, full LADD B",319,0.56073,271,0.46290,"stopped, NaN",Continues from A2 last checkpoint; crashed after NaN recovery failed.,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N2_a2last_continue_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N3_yoloinit_a2last_decomp_B800sched,N3 YOLO-init + A2 decomp B800sched,YOLO init detector + A2 teacher decomposition,525,0.48742,525,0.48742,running snapshot,YOLO initial detector plus A2 decomposition split-load.,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N3_yoloinit_a2last_decomp_20260614_cfgfix_retry2_b_e800_b64_s0_gpu1/results.csv
no-mosaic B800 restart,n,formal no-mosaic,B800 cosine,N4_yoloinit_a2last_decomp_kdwarmup_B800sched,N4 YOLO-init + decomp KD-warmup B800sched,YOLO init detector + A2 teacher decomposition + KD warmup,512,0.46180,512,0.46180,running snapshot,YOLO initial detector plus A2 decomposition and KD-only warmup.,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N4_yoloinit_a2last_decomp_kdwarmup_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv
no-mosaic B entrance compressed,n,formal no-mosaic,B100 compressed,N1_current_base_cont,N1 current: SAR baseline cont. B100,"converged SAR baseline checkpoint, det-only B",100,0.56615,99,0.56594,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100/run_files/results.csv
no-mosaic B entrance compressed,n,formal no-mosaic,B100 compressed,N2_current_a2best_cont,N2 current: A2-best cont. B100,A2 best checkpoint,100,0.55872,100,0.55872,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/N2_a2best_continue_b100/run_files/results.csv
no-mosaic B entrance compressed,n,formal no-mosaic,B100 compressed,N3_current_sarbase_a2last_decomp,N3 current: SAR-base + A2-last decomp B100,converged SAR baseline detector + A2 teacher decomposition,100,0.55722,100,0.55722,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100/run_files/results.csv
no-mosaic B entrance compressed,n,formal no-mosaic,B120 compressed,N4_current_kd_ramp,N4 current: N3 + KD ramp B120,converged SAR baseline detector + A2 teacher decomposition + KD ramp,120,0.56379,113,0.56311,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120/run_files/results.csv
no-mosaic B entrance compressed,s,formal no-mosaic,B100 compressed,S1_current_base_cont,S1 current: SAR baseline cont. B100,"converged SAR baseline checkpoint, det-only B",100,0.62493,62,0.62238,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/autodl/S1_basecontinue_b100_autodl/run_files/results.csv
no-mosaic B entrance compressed,s,formal no-mosaic,B100 compressed,S2_current_a2best_cont,S2 current: A2-best cont. B100,A2 best checkpoint,100,0.62599,54,0.62174,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/S2_a2best_continue_b100_retry2_running/run_files/results.csv
no-mosaic B entrance compressed,s,formal no-mosaic,B100 compressed,S3_current_sarbase_a2last_decomp,S3 current: SAR-base + A2-last decomp B100,converged SAR baseline detector + A2 teacher decomposition,100,0.62553,65,0.62262,completed compressed entrance,"Short compressed schedule; useful for entrance trend, not final B800 claim.",ladd/results/b_entrance_20260613/evidence/ladd4090/S3_base_a2last_decomp_b100/run_files/results.csv
