label,model,method,epoch,AP50,AP,best_AP50,best_AP,best_epoch,avg_sec_per_epoch,eta_hours_to_800,est_finish_cst,train_box_loss,train_cls_loss,train_dfl_loss,train_task_loss,train_kd_loss
n LADD,YOLO11n,LADD A2-core,334,0.78189,0.51065,0.78189,0.51065,334,123.89550898203592,16.03758532934132,2026-06-17 04:52,1.21175,0.60885,0.85257,0.41784,0.01571
n CMDistill,YOLO11n,CMDistill,420,0.77237,0.50426,0.77237,0.50453,419,95.75,10.106944444444444,2026-06-16 22:56,1.37774,0.70796,0.89069,0.0,0.93764
s LADD,YOLO11s,LADD A2-core,48,0.30991,0.13146,0.30991,0.13146,48,128.268125,26.793786111111114,2026-06-17 15:37,2.53827,1.87391,1.33456,0.97138,109.454
s CMDistill,YOLO11s,CMDistill,421,0.87717,0.59274,0.87717,0.59327,420,95.52161520190023,10.056303378200052,2026-06-16 22:53,1.11709,0.54542,0.84507,0.0,0.6417
m LADD,YOLO11m,LADD A2-core,24,0.35903,0.14826,0.35903,0.14938,22,175.27666666666667,37.78185925925926,2026-06-18 02:36,2.48694,1.64919,1.31583,0.8494,36.2672
