# source_log: /mnt/dataY/ydf/projects/LADD_og/logs/formal_nomosaic_20260528/baselines/sar_yolo11n_hbb_800ep_cos_nomosaic_albu_b64_s42_gpu2.log
# source_log_size_bytes: 31585260
# note: extracted from raw log; ANSI progress control characters removed; full raw log retained on server 90.

800/800      2.53G     0.9353     0.4774     0.8182        162        256: 11% ━─────────── 26/230 2.7it/s 9.9s<1:15
800/800      2.53G     0.9303     0.4754     0.8187        137        256: 12% ━─────────── 27/230 2.7it/s 10.3s<1:15
800/800      2.53G     0.9315     0.4752     0.8185        137        256: 12% ━─────────── 28/230 2.7it/s 10.7s<1:15
800/800      2.53G     0.9305     0.4747     0.8184        198        256: 13% ━╸────────── 29/230 2.7it/s 11.0s<1:14
800/800      2.53G     0.9291     0.4747     0.8196        134        256: 13% ━╸────────── 30/230 2.7it/s 11.4s<1:15
800/800      2.53G     0.9311      0.475     0.8186        175        256: 13% ━╸────────── 31/230 2.7it/s 11.8s<1:14
800/800      2.53G     0.9346     0.4764     0.8173        138        256: 14% ━╸────────── 32/230 2.6it/s 12.2s<1:17
800/800      2.53G     0.9348     0.4765     0.8179        145        256: 14% ━╸────────── 33/230 2.6it/s 12.6s<1:16
800/800      2.53G     0.9317     0.4743     0.8178        120        256: 15% ━╸────────── 34/230 2.6it/s 13.0s<1:17
800/800      2.53G     0.9346     0.4743     0.8176        187        256: 15% ━╸────────── 35/230 2.6it/s 13.4s<1:16
800/800      2.53G     0.9334      0.474     0.8173        170        256: 16% ━╸────────── 36/230 2.6it/s 13.8s<1:15
800/800      2.53G     0.9383     0.4758     0.8169        174        256: 16% ━╸────────── 37/230 2.6it/s 14.1s<1:14
800/800      2.53G     0.9367     0.4754     0.8164        133        256: 17% ━╸────────── 38/230 2.6it/s 14.5s<1:14
800/800      2.53G     0.9348     0.4748     0.8168        117        256: 17% ━━────────── 39/230 2.6it/s 14.9s<1:15
800/800      2.53G     0.9356     0.4749     0.8167        122        256: 17% ━━────────── 40/230 2.5it/s 15.4s<1:16
800/800      2.53G     0.9368      0.475     0.8163        143        256: 18% ━━────────── 41/230 2.5it/s 15.7s<1:15
800/800      2.53G     0.9383     0.4764     0.8164        138        256: 18% ━━────────── 42/230 2.6it/s 16.1s<1:14
800/800      2.53G     0.9372     0.4762     0.8158        126        256: 19% ━━────────── 43/230 2.5it/s 16.6s<1:15
800/800      2.53G     0.9322     0.4742      0.816        113        256: 19% ━━────────── 44/230 2.4it/s 17.0s<1:16
800/800      2.53G     0.9377     0.4759      0.816        151        256: 20% ━━────────── 45/230 2.5it/s 17.4s<1:15
800/800      2.53G     0.9366     0.4761     0.8163        117        256: 20% ━━────────── 46/230 2.5it/s 17.8s<1:13
