epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
0,0,0.0022143328,0.0044286656,102834.22,102834.22,205668.44,0,563.70868,0,0,0.99999994
1,0,0.0014704738,0.0029409477,66291.539,66291.539,132583.08,0,563.89996,0,0,0.99999994
2,0,0.0014144236,0.0028288472,44280.977,44280.977,88561.953,0,549.28259,0,0,0.99999994
3,0,0.0013148052,0.0026296105,40042.793,40042.793,80085.586,0,536.10864,0,0,0.99999994
4,0,0.0012998346,0.0025996692,41479.609,41479.609,82959.219,0,532.66083,0,0,0.99999994
5,0,0.001193065,0.0023861299,44681.027,44681.027,89362.055,0,532.34344,0,0,0.99999994
6,0,0.001165862,0.0023317239,64219.145,64219.145,128438.29,0,546.41736,0,0,0.99999994
7,0,0.0011493679,0.0022987358,53123.23,53123.23,106246.46,0,546.42609,0,0,0.99999994
8,0,0.0010848873,0.0021697746,48199.629,48199.629,96399.258,0,533.03912,0,0,0.99999994
9,0,0.001062458,0.0021249161,42952.062,42952.062,85904.125,0,526.57391,0,0,0.99999994
10,0,0.0010555147,0.0021110293,41337.605,41337.605,82675.211,0,520.43909,0,0,0.99999994
11,0,0.0010384618,0.0020769236,39367.586,39367.586,78735.172,0,517.19995,0,0,0.99999994
12,0,0.0010127645,0.002025529,38005.371,38005.371,76010.742,0,512.13477,0,0,0.99999994
13,0,0.0010144679,0.0020289358,36020.539,36020.539,72041.078,0,507.55649,0,0,0.99999994
14,0,0.00096994382,0.0019398876,35811.883,35811.883,71623.766,0,505.37823,0,0,0.99999994
15,0,0.0009637425,0.001927485,34251.965,34251.965,68503.93,0,505.94345,0,0,0.99999994
