method,role,status,active,progress,csv_rows,latest_epoch,latest_AP50-95,latest_AP50,best_AP50-95,best_epoch,late5,late10,late20,late50,latest_delta,late20_delta,epoch100_delta,positive_epochs,eta
det-only,baseline,baseline,yes,485/800,503/800,485,0.50665,0.77452,0.50665,485,0.506266,0.5058199999999999,0.5045680000000001,0.5002217999999999,,,,NA,2026-06-25 05:09
ProbeA,candidate,DROP_FROM_BEST,yes,388/800,403/800,388,0.00886,0.0204,0.48823,384,0.295028,0.391329,0.43847750000000013,0.46195159999999996,-0.47174000000000005,-0.039183499999999996,0.00767000000000001,375/388,2026-06-25 06:27
dynamic,candidate,WATCH,yes,327/800,345/800,327,0.47031,0.73924,0.47031,327,0.469416,0.468304,0.46614750000000005,0.4592974,0.009199999999999986,0.008614500000000006,0.010570000000000024,320/327,2026-06-25 07:13
dynamic_kd0p5,candidate,DROP_FROM_BEST,yes,78/800,78/800,78,0.03215,0.08068,0.31847,61,0.052776,0.026388,0.06058899999999999,0.18649140000000003,-0.29745,-0.25811399999999995,,51/78,2026-06-25 10:42
dynamic_reach0p5,candidate,pre100,yes,62/800,79/800,62,0.31928,0.56357,0.31928,62,0.31592000000000003,0.31054699999999996,0.29871600000000004,0.2422766,0.009690000000000032,0.008520500000000004,,53/62,2026-06-25 10:41
dynamic_srec0p05,candidate,DROP_FROM_BEST,yes,74/800,74/800,74,0.02954,0.07931,0.31065,58,0.0306,0.028015,0.07547999999999999,0.183012,-0.2979,-0.2374905,,46/74,2026-06-25 10:45
dynamic_teacher_projectedraw,candidate,pre100,yes,65/800,86/800,65,0.32369,0.56476,0.32369,65,0.320444,0.315935,0.3045195,0.25082079999999995,0.00934999999999997,0.007466500000000001,,51/65,2026-06-25 10:36
oldcommit_ProbeA,candidate,PROMISING_EARLY,no,215/700,215/700,215,0.42046,0.68108,0.42046,215,0.41963399999999995,0.418546,0.4163279999999999,0.4079964,0.010330000000000006,0.011845499999999991,0.01215000000000005,208/215,stopped
