model,no_mosaic_status,mosaic100_status,no_mosaic_gain,mosaic100_gain,mosaic_minus_no_gain,no_mosaic_gap_closed_pct,mosaic100_gap_closed_pct,mosaic_minus_no_gap_closed_pct,no_mosaic_same_epoch_gain,mosaic100_same_epoch_gain,no_mosaic_same_epoch_gap_closed_pct,mosaic100_same_epoch_gap_closed_pct
YOLO11n,complete,partial,0.0177899999999999,-0.04313,-0.060919999999999905,24.158066268332416,-57.361351243516445,-81.51941751184886,0.020669999999999966,0.04559000000000002,27.84213362068962,48.62414675767916
YOLO11s,complete,complete,0.0117599999999999,0.0151499999999999,0.003389999999999999,40.96133751306161,37.34286418535864,-3.618473327702965,0.020540000000000003,0.016190000000000038,56.630824372759825,40.66817382567202
YOLO11m,complete,partial,0.0140199999999999,0.0052799999999999,-0.008740000000000001,60.19750966079849,23.487544483985605,-36.70996517681289,0.02022999999999997,0.026100000000000012,72.82217422606175,76.13768961493591
