machine,gpu,gpu_type,batch,kind,run,best_epoch_by_mAP50_95,best_P,best_R,best_mAP50,best_mAP50_95,best_val_box,best_val_obj,best_val_cls,best_loc_cold,candidate_count,tcld_loss,ncld_loss,effective_iwm_weight_mean
90,3,RTX3090,32_acc64,NCLD no-IWM,90_NCLD_noIWM_gpu3,102,0.731,0.2891,0.2978,0.1433,0.05886,0.007107,0.003643,0.001869,18102.652,0.0,0.00093453482,1.0
90,4,RTX3090,32_acc64,TCLD no-IWM,90_TCLD_noIWM_gpu4,207,0.6796,0.4621,0.485,0.235,0.04736,0.006119,0.001005,0.0006761,13618.15,0.00067612639,0.0,1.0
90,5,RTX3090,32_acc64,BOTH no-IWM,90_BOTH_noIWM_gpu5,164,0.5644,0.4305,0.4282,0.2005,0.05056,0.006326,0.002052,0.001359,16374.42,0.00080154993,0.00095848413,1.0
117,0,RTX5880Ada,64,BOTH + IWM(mean),117_BOTH_IWM_gpu0,63,0.4837,0.4012,0.3852,0.1871,0.053,0.006589,0.001703,0.0002841,44579.867,0.00016985548,0.00019914607,0.25621721
