epoch,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),primary_metric,primary_metric_key,train/box_loss,train/cls_loss,train/dfl_loss,train/loss,train/lr,val/loss
0,0.06931976774167321,0.17014088215014958,0.06931976774167321,0.6505534806924279,0.18484121275090262,0.06931976774167321,metrics/mAP50-95(B),3.0914394306902535,3.3939735797135366,1.6202521275408006,129.6377924812009,0.0001,110.2924753686656
1,0.08145620033838712,0.19553841217184373,0.08145620033838712,0.6749080926450525,0.2054759852851723,0.08145620033838712,metrics/mAP50-95(B),2.9203003477244236,2.4881001730391605,1.546529910491623,111.18812502795504,9.99996183243828e-05,104.46953304954197
2,0.08853047642144016,0.2087602836966486,0.08853047642144016,0.6750924117174657,0.22513110793096622,0.08853047642144016,metrics/mAP50-95(B),2.8878268884858493,2.3546929701334,1.5255081541795636,108.23917289908606,9.99984733034171e-05,102.43181490690812
3,0.0895326529680369,0.21394873429139338,0.0895326529680369,0.4355165789027897,0.22099152972164068,0.0895326529680369,metrics/mAP50-95(B),2.874066996080405,2.3121000772084117,1.5128081964822475,107.12252806369195,9.999656495476053e-05,101.80198817045792
4,0.0933177804575575,0.21730949986064174,0.0933177804575575,0.37023307242843373,0.2277646256467123,0.0933177804575575,metrics/mAP50-95(B),2.8473651637947808,2.260504995398589,1.4969070172231875,105.61365983270377,9.999389330784221e-05,100.53587984831437
5,0.10086434401461931,0.22430851079448344,0.10086434401461931,0.39164551103935863,0.23815836866506013,0.10086434401461931,metrics/mAP50-95(B),2.8221274752133287,2.1996630686320033,1.4878419119633142,104.07461368140633,9.999045840386222e-05,100.63094594374947
6,0.0940132996063577,0.21855214155567418,0.0940132996063577,0.43143932298852344,0.22366654376451012,0.0940132996063577,metrics/mAP50-95(B),2.8231727135740425,2.167643027126204,1.4847543340992901,103.55842373597324,9.998626029579104e-05,98.99378881039827
7,0.10594648822860091,0.23258570312783508,0.10594648822860091,0.4600018946973338,0.23991971455160063,0.10594648822860091,metrics/mAP50-95(B),2.8036614205351054,2.1454795578183887,1.4752820483860818,102.72859614548013,9.998129904836869e-05,98.0782330720321
8,0.10244398200679976,0.23612453406195077,0.10244398200679976,0.4020774709445023,0.24652951456388814,0.10244398200679976,metrics/mAP50-95(B),2.7825193646949926,2.0893963819111705,1.474088882801967,101.4727964245246,9.997557473810373e-05,96.88659842117973
9,0.10139803639964341,0.23490349688763135,0.10139803639964341,0.3909855971176186,0.25291703782746194,0.10139803639964341,metrics/mAP50-95(B),2.7651550911505063,2.0691496164354137,1.4681664857375583,100.77827926602463,9.99690874532721e-05,96.10085237751836
10,0.0992490686436715,0.23385162857883032,0.0992490686436715,0.37580750465623497,0.25030165732501725,0.0992490686436715,metrics/mAP50-95(B),2.748903247106296,2.053304873935009,1.465231378374859,100.22648940507563,9.99618372939158e-05,96.78475634533426
11,0.10298393782340003,0.23400549043346122,0.10298393782340003,0.4186050578916336,0.24961176560481668,0.10298393782340003,metrics/mAP50-95(B),2.757645738033848,2.0347940267887346,1.46188140136465,100.00031569635856,9.995382437184121e-05,96.47711956190027
